FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
ES250B,65,BattVltg.c,BattVltgPer1,156,I,""
ES250B,48,BattVltg.c,BattVltgPer1,157,I,""
ES250B,49,BattVltg.c,BattVltgPer1,158,I,""
ES250B,51,BattVltg.c,BattVltgPer1,190,I,""
ES250B,77,BattVltg.c,BattVltgPer1,170-174,I,""
ES250B,75,BattVltg.c,BattVltgPer1,187,I,""
ES250B,73,BattVltg.c,BattVltgPer1,177-180,I,""
ES250B,72,BattVltg.c,BattVltgInit1,106-108,I,""
ES250B,78,BattVltg.c,BattVltgPer1,163-167,I,""
